lead_party_id,lead_party_name,parent_company,notes
SEABANK,Seabank Power Limited,Seabank Power Limited,unverified
INNOGY01,RWE Generation UK plc,RWE,
MPL,Marchwood Power Limited,Marchwood Power Limited,unverified
EECL,Uniper UK Limited,Uniper,
DRAX,Drax Power Ltd,Drax Group,
CARRINGT,Carrington Power Ltd,Carrington Power Ltd,unverified
WESTBURB,West Burton B Limited,West Burton B Limited,unverified
KGL,Keadby Generation Limited,Keadby Generation Limited,unverified
SPGEN01,VPI Power Limited,VPI (Vitol),
FSTHYDRO,First Hydro Company,First Hydro Company,unverified
RPCL,Rocksavage Power Company Ltd,InterGen,
DONGSVR,Severn Power Limited,Severn Power Limited,unverified
ICHPLLP,VPI Immingham LLP,VPI (Vitol),
SPAL,Spalding Energy Company Ltd,InterGen,
CECL,Coryton Energy Company Ltd,InterGen,
EPUKI,EP UK INVESTMENTS LIMITED,EPH,
SSETGSL,SSE Thermal Generation,SSE,
SSEGEN,SSE Generation Ltd,SSE,
DPSL,Drax Pumped Storage Limited,Drax Group,
ZENOBE5,ZENOBE KILMARNOCK SOUTH LTD,ZENOBE KILMARNOCK SOUTH LTD,unverified
THRKBESS,THURROCK STORAGE LIMITED,THURROCK STORAGE LIMITED,unverified
ZENOBE4,ZENOBE BLACKHILLOCK LIMITED,ZENOBE BLACKHILLOCK LIMITED,unverified
TESLA,Tesla Motors Limited,Tesla Motors Limited,unverified
PIVOT,Pivoted Power LLP,Pivoted Power LLP,unverified
STATKRA1,Statkraft Markets Gmbh,Statkraft,
FLEXTRCY,Flexitricity Limited,Flexitricity Limited,unverified
CAMARO,BGI Trading Limited,BGI Trading Limited,unverified
UKPR,UK Power Reserve Limited,UK Power Reserve Limited,unverified
CESCAP01,HD888CAP Ltd,HD888CAP Ltd,unverified
AG,Arenko Cleantech Limited,Arenko Cleantech Limited,unverified
